origine,destination,distance,train_emissions,bus_emissions,plane_emissions,electric_car_emissions,thermal_car_emissions,page1_link,page2_link
Paris Gare de Lyon,Annecy,545.0,1.5805,19.32,,26.32,60.368,https://www.tripadvisor.fr/ShowUserReviews-g187260-r111704080-Annecy_Haute_Savoie_Auvergne_Rhone_Alpes.html#REVIEWS,https://www.tripadvisor.fr/ShowUserReviews-g187260-r86606692-Annecy_Haute_Savoie_Auvergne_Rhone_Alpes.html
Paris Gare de Lyon,Zuerich HB,614.0,2.0876,22.5975,70.36030000000001,30.785,70.609,https://www.tripadvisor.fr/ShowUserReviews-g188113-r110402149-Zurich.html,
Paris Saint-Lazare,Rouen Rive Droite,139.0,3.3916,5.037,,6.862,15.7388,https://www.tripadvisor.fr/ShowUserReviews-g187191-r88211602-Rouen_Seine_Maritime_Haute_Normandie_Normandy.html#REVIEWS,https://www.tripadvisor.fr/ShowUserReviews-g187191-r87879158-Rouen_Seine_Maritime_Haute_Normandie_Normandy.html#REVIEWS
Paris Montparnasse,La Rochelle,460.0,1.334,11.454,,15.604,35.7896,https://www.tripadvisor.fr/ShowUserReviews-g187206-d1161992-r905093931-Vieux_Port-La_Rochelle_Charente_Maritime_Nouvelle_Aquitaine.html,
Paris Gare de Lyon,Grenoble,556.09,1.6126610000000001,19.872,,27.072,62.0928,https://www.tripadvisor.fr/ShowUserReviews-g187264-r86484268-Grenoble_Isere_Auvergne_Rhone_Alpes.html#REVIEWS,
Paris Gare du Nord,Lille Europe,225.249,0.6532220999999999,7.935,,10.81,24.794,https://www.tripadvisor.fr/ShowUserReviews-g187178-r243531408-Lille_Nord_Hauts_de_France.html#REVIEWS,https://www.tripadvisor.fr/ShowUserReviews-g187178-r55549677-Lille_Nord_Hauts_de_France.html#REVIEWS
Paris Saint-Lazare,Le Havre Gare locale,228.0,5.5632,7.2795,,9.917,22.7458,https://www.tripadvisor.fr/ShowUserReviews-g187190-d10256712-r461549484-Centre_ville_reconstruit_du_Havre-Le_Havre_Seine_Maritime_Haute_Normandie_Norma.html,
Paris-Gare-de-Lyon,Clermont-Ferrand,419.0,2.933,14.628,49.8684,19.928,45.7072,https://www.tripadvisor.fr/ShowUserReviews-g187091-r105094784-Clermont_Ferrand_Puy_de_Dome_Auvergne_Rhone_Alpes.html#REVIEWS,
Paris Montparnasse,Saint-Pierre-des-Corps,221.0,0.6409,8.2455,,11.233,25.764200000000002,https://www.tripadvisor.fr/ShowUserReviews-g187130-r87967680-Tours_Indre_et_Loire_Centre_Val_de_Loire.html#REVIEWS,
Paris Montparnasse,Biarritz,744.496,2.1590384,27.0135,95.86770000000001,36.801,84.4074,https://www.tripadvisor.fr/ShowUserReviews-g187080-d662516-r719142517-La_Cote_des_Basques-Biarritz_Basque_Country_Pyrenees_Atlantiques_Nouvelle_Aquitai.html,
Paris Montparnasse,Brest,613.0,1.7777,20.424,72.07990000000001,27.824,63.8176,https://www.tripadvisor.fr/ShowUserReviews-g187095-d13115677-r758545879-Le_Telepherique-Brest_Finistere_Brittany.html,
Paris Gare de Lyon,Barcelona Sants,1076.0,3.1204,35.811,119.2256,48.786,111.8964,https://www.tripadvisor.fr/ShowUserReviews-g187497-r296210183-Barcelona_Catalonia.html#REVIEWS,https://www.tripadvisor.fr/ShowUserReviews-g187497-r224251966-Barcelona_Catalonia.html#REVIEWS
Paris Gare de Lyon,Chambéry - Challes-les-Eaux,531.951,1.5426579,19.6995,,26.837,61.553799999999995,https://www.tripadvisor.fr/ShowUserReviews-g8309764-d8036417-r834475582-Ville_Ancienne-Chambery_Savoie_Auvergne_Rhone_Alpes.html,
Paris Montparnasse,Bordeaux Saint-Jean,537.13,1.557677,20.2515,129.6294,27.589,63.2786,https://www.tripadvisor.fr/ShowUserReviews-g187079-r146752265-Bordeaux_Gironde_Nouvelle_Aquitaine.html#REVIEWS,https://www.tripadvisor.fr/ShowUserReviews-g187079-r87964667-Bordeaux_Gironde_Nouvelle_Aquitaine.html#REVIEWS
Paris-Austerlitz,Limoges-Bénédictins,400.0,2.8,13.524,,18.424,42.2576,https://www.tripadvisor.fr/ShowUserReviews-g187159-r146599786-Limoges_Haute_Vienne_Nouvelle_Aquitaine.html#REVIEWS,
Paris Gare de Lyon,Nice,971.68,2.817872,32.223,179.3467,43.898,100.6852,https://www.tripadvisor.fr/ShowUserReviews-g187234-r227473428-Nice_French_Riviera_Cote_d_Azur_Provence_Alpes_Cote_d_Azur.html#REVIEWS,https://www.tripadvisor.fr/ShowUserReviews-g187234-r148571361-Nice_French_Riviera_Cote_d_Azur_Provence_Alpes_Cote_d_Azur.html#REVIEWS
Paris Est,Freiburg Breisgau HBF,530.0,3.604,20.562,,28.012,64.24879999999999,https://www.tripadvisor.fr/Attraction_Review-g315924-d7613164-Reviews-Fribourg_Centre-Fribourg_Canton_of_Fribourg.html,
Paris Est,Metz,352.0,1.0208,11.454,,15.604,35.7896,https://www.tripadvisor.fr/ShowUserReviews-g187164-d2060561-r425068727-Gare_de_Metz_Ville-Metz_Moselle_Grand_Est.html,
Paris Nord,Bruxelles N Aero,314.0,2.4178,10.764,37.9745,14.664,33.6336,https://www.tripadvisor.fr/ShowUserReviews-g188644-r116978873-Brussels.html#REVIEWS,https://www.tripadvisor.fr/ShowUserReviews-g188644-r47132120-Brussels.html#REVIEWS
Paris Gare de Lyon,Geneve,503.0,1.7102,18.6645,59.03960000000001,25.427,58.319799999999994,https://www.tripadvisor.fr/ShowUserReviews-g188057-r110008648-Geneva.html#REVIEWS,
Paris Gare de Lyon,Torino Porta Susa,734.0,5.651800000000001,26.772,83.9738,36.472,83.6528,https://www.tripadvisor.fr/ShowUserReviews-g187855-d14015512-r680565044-Torino_Centro_Storico-Turin_Province_of_Turin_Piedmont.html,
Paris Gare de Lyon,Montpellier Saint-Roch,738.861,2.1426969,25.8405,155.1388,35.203,80.7422,https://www.tripadvisor.fr/ShowUserReviews-g187153-r196910894-Montpellier_Herault_Occitanie.html#REVIEWS,https://www.tripadvisor.fr/ShowUserReviews-g187153-r87903461-Montpellier_Herault_Occitanie.html#REVIEWS
Paris Austerlitz,Orléans,121.0,2.9523999999999995,4.692,,6.392,14.6608,https://www.tripadvisor.fr/Attraction_Review-g187129-d9788284-Reviews-or10-Centre_ville-Orleans_Loiret_Centre_Val_de_Loire.html,
Paris Nord,Koeln HBF,823.0,6.3371,17.181,,23.406,53.684400000000004,https://www.tripadvisor.fr/Attraction_Review-g187371-d8135291-Reviews-Historic_Old_Town-Cologne_North_Rhine_Westphalia.html#REVIEWS,
Paris Gare de Lyon,Milano P Garibaldi,877.0,6.7529,31.4985,91.99860000000001,42.911,98.42139999999999,https://www.tripadvisor.fr/ShowUserReviews-g187849-r86055239-Milan_Lombardy.html,https://www.tripadvisor.fr/ShowUserReviews-g187849-r47647288-Milan_Lombardy.html#REVIEWS
Paris Montparnasse,Le Mans,202.0,0.5858,7.2105,,9.823,22.5302,https://www.tripadvisor.fr/ShowUserReviews-g187195-d8820281-r947848356-Le_Mans-Le_Mans_City_Le_Mans_Sarthe_Pays_de_la_Loire.html,
Paris Gare de Lyon,Besançon Franche Comté,367.0,1.0643,14.352,,19.552,44.84479999999999,https://www.tripadvisor.fr/ShowUserReviews-g187143-d12685787-r661965295-Centre_historique_de_Besancon-Besancon_Doubs_Bourgogne_Franche_Comte.html,
Paris Montparnasse,Arcachon,595.0,1.7255,19.5,,30.55,70.07,https://www.tripadvisor.fr/Attraction_Review-g196505-d13116954-Reviews-Bassin_d_Arcachon-Arcachon_Gironde_Nouvelle_Aquitaine.html,
Paris Gare de Lyon,Marseille Saint-Charles,750.138,2.1754002,26.7375,172.3186,36.425,83.545,https://www.tripadvisor.fr/ShowUserReviews-g187253-r282071566-Marseille_Bouches_du_Rhone_Provence_Alpes_Cote_d_Azur.html#REVIEWS,https://www.tripadvisor.fr/ShowUserReviews-g187253-r236557551-Marseille_Bouches_du_Rhone_Provence_Alpes_Cote_d_Azur.html#REVIEWS
Paris Gare de Lyon,Toulon,812.0,2.3547999999999996,28.9455,181.1688,39.433,90.4442,https://www.tripadvisor.fr/ShowUserReviews-g187257-d2240716-r908833935-Old_Town-Toulon_Var_Provence_Alpes_Cote_d_Azur.html,
Paris Nord,Amsterdam Centraal,545.0,4.1965,17.5605,61.7623,23.923,54.8702,https://www.tripadvisor.fr/ShowUserReviews-g188590-r108902684-Amsterdam_North_Holland_Province.html#REVIEWS,https://www.tripadvisor.fr/ShowUserReviews-g188590-r32248877-Amsterdam_North_Holland_Province.html#REVIEWS
Paris Gare de Lyon,Basel SBB,525.0,1.785,19.6995,,26.837,61.553799999999995,https://www.tripadvisor.fr/Attraction_Review-g188049-d3253822-Reviews-Basel_s_Old_Town-Basel.html,
Paris Montparnasse,Vannes,489.0,1.4181,16.008,,21.808,50.0192,https://www.tripadvisor.fr/ShowUserReviews-g196537-d4744044-r271350649-Centre_Historique_de_Vannes-Vannes_Morbihan_Brittany.html,
Paris Est,Strasbourg,450.58,1.3066820000000001,16.836,,22.9125,52.6064,https://www.tripadvisor.fr/ShowUserReviews-g187075-r287480889-Strasbourg_Bas_Rhin_Grand_Est.html#REVIEWS,https://www.tripadvisor.fr/ShowUserReviews-g187075-r86136484-Strasbourg_Bas_Rhin_Grand_Est.html#REVIEWS
Paris Est,Mulhouse,495.0,1.4355,18.6645,56.17360000000001,25.427,58.319799999999994,https://fr.tripadvisor.ch/ShowUserReviews-g196495-d4323527-r683174230-Mulhouse_Alsace_Agglomeration-Mulhouse_Haut_Rhin_Grand_Est.html,
Paris Est,Nancy,367.0,1.0643,13.317,,18.142,41.6108,https://www.tripadvisor.fr/ShowUserReviews-g187162-r189484920-Nancy_Meurthe_et_Moselle_Grand_Est.html,
Paris Nord,Calais Ville,335.0,0.9715,10.2465,,13.959,32.0166,https://www.tripadvisor.fr/ShowUserReviews-g196659-d2578078-r765445999-Plage_de_Calais-Calais_Pas_de_Calais_Hauts_de_France.html,
Paris Saint-Lazare,Trouville-Deauville,219.0,5.3435999999999995,7.3485,,10.011,22.961399999999998,https://www.tripadvisor.fr/Attraction_Review-g187184-d4947553-Reviews-Plage_de_Deauville-Deauville_City_Calvados_Basse_Normandie_Normandy.html#REVIEWS,
Paris Est,Reims,146.156,0.42385239999999996,5.0025,,6.815,15.631,https://www.tripadvisor.fr/Attraction_Review-g187137-d230790-Reviews-Cathedrale_Notre_Dame_de_Reims-Reims_Marne_Grand_Est.html,
Paris Gare de Lyon,Lausanne,479.0,1.6285999999999998,17.94,,24.44,56.056,https://www.tripadvisor.fr/ShowUserReviews-g188107-r83803063-Lausanne_Canton_of_Vaud.html,
Paris Nord,London St-Pancras,496.0,3.3728,15.939,49.00860000000001,21.714,49.803599999999996,https://www.tripadvisor.fr/ShowUserReviews-g186338-r298426044-London_England.html#REVIEWS,https://www.tripadvisor.fr/ShowUserReviews-g186338-r216169055-London_England.html#REVIEWS
Paris Gare de Lyon,Lyon Part Dieu,429.496,1.2455383999999998,16.077,102.55820000000001,21.855,50.23479999999999,https://www.tripadvisor.fr/ShowUserReviews-g187265-d195466-r930458891-Vieux_Lyon-Lyon_Rhone_Auvergne_Rhone_Alpes.html,
Paris-Austerlitz,Brive-la-Gaillarde,498.0,3.486,16.698,,22.748,52.1752,https://www.tripadvisor.fr/ShowUserReviews-g196612-r90222351-Brive_la_Gaillarde_Correze_Nouvelle_Aquitaine.html#REVIEWS,https://www.tripadvisor.fr/ShowUserReviews-g196612-r57594561-Brive_la_Gaillarde_Correze_Nouvelle_Aquitaine.html#REVIEWS
